,Mario Kart Stadium,Water Park,Sweet Sweet Canyon,Thwomp Ruins,Mario Circuit,Toad Harbor,Twisted Mansion,Shy Guy Falls,Sunshine Airport,Dolphin Shoals,Electrodrome,Mount Wario,Cloudtop Cruise,Bone-Dry Dunes,Bowser's Castle,Rainbow Road,Wii Moo Moo Meadows,GBA Mario Circuit,DS Cheep Cheep Beach,N64 Toad's Turnpike,GCN Dry Dry Desert,SNES Donut Plains 3,N64 Royal Raceway,3DS DK Jungle,DS Wario Stadium,GCN Sherbet Land,3DS Music Park,N64 Yoshi Valley,DS Tick-Tock Clock,3DS Piranha Plant Slide,Wii Grumble Volcano,N64 Rainbow Road,GCN Yoshi Circuit,Excitebike Arena,Dragon Driftway,Mute City,Wii Wario's Gold Mine,SNES Rainbow Road,Ice Ice Outpost,Hyrule Circuit,GCN Baby Park,GBA Cheese Land,Wild Woods,Animal Crossing,3DS Neo Bowser City,GBA Ribbon Road,Super Bell Subway,Big Blue
April,6.0,7.0,6.0,7.0,4.0,8.0,2.0,2.0,6.0,7.0,7.0,7.0,4.0,3.0,3.0,1.0,8.0,8.0,8.0,5.0,8.0,3.0,4.0,2.0,1.0,6.0,5.0,8.0,5.0,2.0,1.0,7.0,1.0,6.0,1.0,5.0,4.0,3.0,6.0,4.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,5.0
Chip,6.0,3.0,4.0,4.0,7.0,7.0,2.0,5.0,6.0,4.0,8.0,6.0,2.0,3.0,2.0,7.0,5.0,4.0,3.0,1.0,1.0,4.0,7.0,2.0,3.0,3.0,6.0,5.0,6.0,1.0,1.0,5.0,6.0,1.0,8.0,8.0,3.0,8.0,5.0,4.0,1.0,2.0,7.0,5.0,2.0,7.0,8.0,8.0
Riché,5.0,7.0,7.0,3.0,7.0,8.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,8.0,7.0,8.0,8.0,6.0,7.0,6.0,2.0,3.0,3.0,5.0,6.0,1.0,4.0,2.0,1.0,2.0,8.0,1.0,2.0,4.0,1.0,3.0,3.0,8.0,2.0,6.0,5.0,4.0,6.0,6.0,7.0
Yami,6.0,7.0,5.0,7.0,6.0,7.0,5.0,2.0,8.0,6.0,8.0,3.0,6.0,4.0,4.0,1.0,8.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,7.0,7.0,2.0,4.0,7.0,1.0,8.0,1.0,4.0,8.0,8.0,5.0,5.0,4.0,1.0,6.0,3.0,1.0,4.0,1.0,3.0
Alele,5.0,7.0,4.0,4.0,4.0,7.0,3.0,5.0,6.0,7.0,1.0,8.0,2.0,3.0,2.0,2.0,8.0,7.0,8.0,7.0,8.0,2.0,4.0,4.0,6.0,6.0,1.0,5.0,4.0,1.0,7.0,1.0,3.0,8.0,1.0,5.0,6.0,1.0,3.0,2.0,8.0,3.0,3.0,6.0,5.0,2.0,6.0,5.0
Chris,2.0,2.0,5.0,5.0,2.0,4.0,1.0,4.0,6.0,2.0,7.0,5.0,6.0,8.0,8.0,7.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,4.0,6.0,2.0,7.0,8.0,6.0,3.0,6.0,7.0,5.0,1.0,8.0,7.0,3.0,8.0,3.0,4.0,1.0,7.0,3.0,1.0,5.0,8.0,1.0,6.0
Tomás,4.0,3.0,3.0,7.0,4.0,7.0,1.0,6.0,7.0,7.0,4.0,8.0,4.0,1.0,2.0,1.0,2.0,4.0,6.0,8.0,5.0,3.0,4.0,6.0,2.0,3.0,3.0,8.0,7.0,2.0,2.0,8.0,5.0,6.0,1.0,5.0,8.0,5.0,5.0,6.0,8.0,3.0,5.0,7.0,1.0,2.0,1.0,6.0
Amaya,6.0,5.0,6.0,5.0,2.0,7.0,7.0,3.0,8.0,8.0,7.0,8.0,1.0,1.0,6.0,7.0,5.0,1.0,7.0,8.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,8.0,6.0,6.0,8.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,4.0,6.0,2.0,2.0,4.0,7.0,5.0,2.0,3.0
Mary,4.0,4.0,3.0,6.0,3.0,7.0,1.0,7.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,8.0,7.0,2.0,2.0,2.0,2.0,1.0,7.0,4.0,1.0,1.0,6.0,8.0,5.0,5.0,4.0,6.0,5.0,8.0,5.0,7.0,8.0,4.0,7.0,3.0,6.0,8.0,5.0,5.0,1.0,6.0,8.0,6.0
Memo,6.0,7.0,2.0,6.0,5.0,8.0,4.0,6.0,7.0,3.0,1.0,3.0,4.0,1.0,4.0,7.0,5.0,5.0,8.0,3.0,5.0,1.0,6.0,4.0,1.0,5.0,4.0,8.0,4.0,2.0,1.0,8.0,1.0,3.0,5.0,7.0,7.0,8.0,2.0,3.0,2.0,2.0,7.0,2.0,3.0,6.0,6.0,8.0
